campaign_id,customer_id,phone,status,sent_at,delivered_at,read_at
1,906,+1 212 555 0101,READ,2026-02-02T09:00:00Z,2026-02-02T09:00:15Z,2026-02-02T09:05:00Z
1,907,+1 212 555 0102,DELIVERED,2026-02-02T09:02:10Z,2026-02-02T09:02:25Z,
1,908,+1 212 555 0103,FAILED,2026-02-02T09:05:45Z,,
1,909,+1 212 555 0104,READ,2026-02-02T09:10:00Z,2026-02-02T09:10:12Z,2026-02-02T09:15:30Z
1,910,+1 212 555 0105,SENT,2026-02-02T09:12:00Z,,
1,911,+1 212 555 0106,DELIVERED,2026-02-02T09:15:20Z,2026-02-02T09:15:40Z,
1,912,+1 212 555 0107,READ,2026-02-02T09:18:30Z,2026-02-02T09:18:45Z,2026-02-02T09:22:10Z
1,913,+1 212 555 0108,FAILED,2026-02-02T09:20:00Z,,
1,914,+1 212 555 0109,DELIVERED,2026-02-02T09:25:00Z,2026-02-02T09:25:15Z,
1,915,+1 212 555 0110,READ,2026-02-02T09:30:10Z,2026-02-02T09:30:25Z,2026-02-02T09:45:00Z
1,955,+1 212 555 0150,FAILED,2026-02-02T12:50:00Z,,
